dsrc,security,timestamp,level,last,bid,bid1,bid2,bid3,bid4,ask,ask1,ask2,ask3,ask4,bz,bz1,bz2,bz3,bz4,az,az1,az2,az3,az4,volume,acc_volume,turnover,acc_turnover
1,1,100000,5,4580.0,4579.0,4578.0,4577.0,4576.0,4575.0,4580.0,4581.0,4582.0,4583.0,4584.0,128,352,128,34,323,12,253,202,86,924,204,24631,9343590.0,1127623690.0
1,1,100000,5,4580.0,4580.0,4579.0,4578.0,4577.0,4576.0,4581.0,4582.0,4583.0,4584.0,4585.0,15,139,355,128,34,88,205,92,920,309,214,24845,9801240.0,1137424930.0
1,1,100000,5,4581.0,4580.0,4579.0,4578.0,4577.0,4576.0,4581.0,4582.0,4583.0,4584.0,4585.0,11,140,355,127,34,60,261,93,920,309,192,25037,8794550.0,1146219480.0
1,1,100000,5,4581.0,4580.0,4579.0,4578.0,4577.0,4576.0,4581.0,4582.0,4583.0,4584.0,4585.0,4,145,354,125,35,66,261,93,921,309,130,25167,5954550.0,1152174030.0
1,1,100000,5,4580.0,4580.0,4579.0,4578.0,4577.0,4576.0,4582.0,4583.0,4584.0,4585.0,4586.0,52,147,349,117,35,256,93,921,314,92,146,25313,6687860.0,1158861890.0
1,1,100000,5,4580.0,4580.0,4579.0,4578.0,4577.0,4576.0,4581.0,4582.0,4583.0,4584.0,4585.0,4,135,348,113,38,8,280,94,917,314,144,25457,6595680.0,1165457570.0
1,1,100000,5,4580.0,4579.0,4578.0,4577.0,4576.0,4575.0,4581.0,4582.0,4583.0,4584.0,4585.0,4,336,113,39,347,127,244,95,919,314,379,25836,17356950.0,1182814520.0
1,1,100000,5,4580.0,4579.0,4578.0,4577.0,4576.0,4575.0,4580.0,4581.0,4582.0,4583.0,4584.0,2,326,113,41,343,95,141,208,95,912,186,26022,8516860.0,1191331380.0
1,1,100000,5,4580.0,4579.0,4578.0,4577.0,4576.0,4575.0,4580.0,4581.0,4582.0,4583.0,4584.0,16,316,113,41,317,152,184,203,95,883,148,26170,6778050.0,1198109430.0
1,1,100000,5,4578.0,4578.0,4577.0,4576.0,4575.0,4574.0,4579.0,4580.0,4581.0,4582.0,4583.0,295,111,40,318,205,20,318,192,240,95,169,26339,7738320.0,1205847750.0
1,1,100000,5,4578.0,4578.0,4577.0,4576.0,4575.0,4574.0,4579.0,4580.0,4581.0,4582.0,4583.0,191,81,38,323,207,58,335,195,244,109,230,26569,10530410.0,1216378160.0
1,1,100000,5,4578.0,4577.0,4576.0,4575.0,4574.0,4573.0,4578.0,4579.0,4580.0,4581.0,4582.0,4,39,322,204,516,49,109,337,194,253,349,26918,15976370.0,1232354530.0
1,1,100000,5,4577.0,4577.0,4576.0,4575.0,4574.0,4573.0,4578.0,4579.0,4580.0,4581.0,4582.0,7,33,345,205,497,100,112,342,196,251,77,26995,3524250.0,1235878780.0
1,1,100000,5,4575.0,4575.0,4574.0,4573.0,4572.0,4571.0,4578.0,4579.0,4580.0,4581.0,4582.0,335,204,496,379,38,181,115,344,193,251,180,27175,8238380.0,1244117160.0
1,1,100000,5,4577.0,4576.0,4575.0,4574.0,4573.0,4572.0,4577.0,4578.0,4579.0,4580.0,4581.0,24,337,204,396,379,8,204,115,346,193,146,27321,6682200.0,1250799360.0
1,1,100000,5,4577.0,4576.0,4575.0,4574.0,4573.0,4572.0,4577.0,4578.0,4579.0,4580.0,4581.0,73,279,204,396,380,11,135,113,349,193,281,27602,12859990.0,1263659350.0
1,1,100000,5,4578.0,4577.0,4576.0,4575.0,4574.0,4573.0,4578.0,4579.0,4580.0,4581.0,4582.0,49,103,284,206,396,72,113,354,193,251,204,27806,9338090.0,1272997440.0
1,1,100000,5,4579.0,4578.0,4577.0,4576.0,4575.0,4574.0,4579.0,4580.0,4581.0,4582.0,4583.0,2,46,104,286,207,100,344,191,251,116,342,28148,15655130.0,1288652570.0
1,1,100000,5,4577.0,4577.0,4576.0,4575.0,4574.0,4573.0,4578.0,4579.0,4580.0,4581.0,4582.0,1,51,286,206,398,42,102,358,191,251,171,28319,7826270.0,1296478840.0
